heartrate,timestamp
79.0,46883592.693424225
80.0,46883289.69344807
81.0,46883060.692736626
80.0,46882726.6864748
85.0,46882568.187120914
83.0,46882061.17558622
81.0,46881701.171663284
78.0,46881539.171663284
79.0,46881313.67424917
85.0,46881081.67680335
97.0,46880544.17864156
98.0,46880415.67955613
83.0,46879917.19229984
90.0,46879797.69229984
85.0,46879545.19277048
82.0,46878994.69358134
78.0,46878774.19439554
77.0,46878622.7008028
80.0,46878141.213067055
81.0,46878070.713067055
78.0,46877498.20318842
78.0,46877395.70318842
76.0,46877085.705066204
71.0,46876815.70635176
75.0,46876572.70663929
80.0,46876145.70632672
76.03445434570312,46876006.32521725
75.0,46875688.82430172
76.0,46875468.82430172
78.0,46875108.32377887
79.0,46875034.82377887
101.0,46874982.058235645
84.0,46873792.460963726
80.0,46873426.46105194
78.0,46873106.46166372
63.0,46872765.96109533
69.0,46872523.96158981
55.0,46872094.336256266
56.0,46871784.336256266
55.0,46871614.336256266
55.0,46871186.342442274
59.0,46870889.21201563
54.0,46870600.08701563
54.0,46870345.08701563
53.0,46870095.08705068
53.0,46869684.58847642
51.0,46869384.587916374
54.0,46869099.587916374
54.0,46868789.587922096
55.0,46868524.587922096
54.0,46868199.58744478
55.0,46867884.5875299
54.0,46867599.5875299
54.0,46867289.5875299
54.0,46867049.58772898
53.0,46866694.58772898
53.0,46866394.58915377
53.0,46866192.08915377
62.0,46865810.087958336
59.0,46865490.08814716
62.0,46865249.58814716
66.0,46865029.58814716
55.0,46864594.588097095
55.0,46864354.58816004
54.0,46863994.587044954
53.0,46863734.587044954
57.0,46863419.58969092
57.0,46863124.58969092
57.0,46862824.58963919
57.0,46862549.58963919
58.0,46862219.58980656
57.0,46861904.59053397
55.0,46861809.59053397
53.10675048828125,46861572.72335863
53.0,46861367.72335863
53.0,46861022.72337961
54.0,46860792.72351551
52.0,46860400.47673893
55.0,46860220.47673893
54.0,46859785.47421408
51.0,46859495.47421408
55.0,46859190.474366665
56.0,46858897.475054026
55.0,46858605.47473216
53.0,46858355.47473216
54.0,46858000.475050926
51.0,46857860.975050926
53.0,46857527.475296736
52.0,46857365.60047865
52.0,46856921.600832224
54.0,46856641.725832224
60.0,46856217.60112977
57.0,46855949.10153246
52.0,46855722.10145044
54.0,46855294.10209942
60.0,46854986.602280855
61.0,46854691.602280855
60.0,46854421.602280855
61.0,46854141.6024816
59.0,46853788.47786617
58.0,46853488.47832155
59.0,46853198.47832155
60.0,46852888.47832155
59.0,46852643.47871256
59.0,46852326.47871256
60.0,46851988.47871256
60.0,46851713.47883654
61.0,46851393.47900796
62.0,46851128.47952485
62.0,46850888.47952485
67.0,46850503.48002148
67.0,46850219.48002148
67.0,46849963.48023081
63.0,46849683.48023081
66.0,46849333.48023081
67.0,46848988.48017764
67.0,46848693.98017764
66.0,46848453.48232794
68.0,46848087.4796412
69.0,46847785.97935867
68.0,46847570.97935867
67.0,46847241.978692055
66.36547088623047,46847173.58054352
67.0,46846926.58054352
67.0,46846595.57605171
66.0,46846375.573521376
78.0,46846264.698521376
76.0,46845804.66853523
75.0,46845601.66853523
78.0,46840307.24130058
79.0,46840000.24170256
80.0,46839724.74386549
81.0,46839544.74332094
81.0,46839274.74329853
80.0,46838813.24771166
84.0,46838687.24771166
86.0,46838376.7439785
84.0,46837913.24425888
84.0,46837709.244305134
83.0,46837363.24449682
87.0,46837091.74483538
84.0,46836754.74482536
80.0,46836602.74482536
